iso3c;region_id;country_name;composition_food_organic_waste_percent;composition_glass_percent;composition_metal_percent;composition_other_percent;composition_paper_cardboard_percent;composition_plastic_percent;composition_rubber_leather_percent;composition_wood_percent;composition_yard_garden_green_waste_percent
HND;LCN;Honduras;57.9;1.27;2.11;6.62;17.36;14.41;0.33;;
HRV;ECS;Croatia;30.9;3.7;2.1;11.5;23.2;22.9;;;5.7
HTI;LCN;Haiti;61.3;1.6;2.5;16.80000000000001;4.1;12.7;;1;
HUN;ECS;Hungary;22.5;3.5;1.8;45.9;13.4;13;;;
IDN;EAS;Indonesia;53.8;2.5;1.8;12.9;14.9;14;;;
IMN;ECS;Isle of Man;;;;;;;;;
IND;SAS;India;;;;;;;;;
IRL;ECS;Ireland;16.6;8.5;3.7;25.8;25;12.4;;1.9;6.1
IRN;MEA;Iran, Islamic Rep.;72.9;1.9;2.3;5;7.3;8.5;1.1;1.3;
IRQ;MEA;Iraq;68.7;2.3;0.98;6;9.6;5.29;5.09;0.85;0.93
ISL;ECS;Iceland;10;;;;38;9;;29;14
ISR;MEA;Israel;34;3;3;16;24;18;;;2
ITA;ECS;Italy;34.4;7.6;4.3;15.4;22.8;11.6;;3.8;
JAM;LCN;Jamaica;62.22;2.81;2.38;5.13;14.73;12.2;;0.53;
JOR;MEA;Jordan;50;2;1.5;15.5;15;16;;;
JPN;EAS;Japan;36;5;4;6;33;11;1;4;
KAZ;ECS;Kazakhstan;30;5;3;7;25;25;;2.5;
KEN;SSF;Kenya;57;3;1;9;11.3;18.7;;;
KGZ;ECS;Kyrgyz Republic;;;;;;;;;
KHM;EAS;Cambodia;66.6;2.6;2;10.4;4;8.6;;5.8;
KIR;EAS;Kiribati;43.6;5.5;10;9.3;10.9;16.5;4.2;;
KNA;LCN;St. Kitts and Nevis;27.2;8.1;8.8;12.2;20.5;23.2;;;
KOR;EAS;Korea, Rep.;30;2.5;2.6;;41;24.3;;;
KWT;MEA;Kuwait;45;4;2;8;20;20;;1;1
LAO;EAS;Lao PDR;16.9;9.3;3.7;20.3;2.8;6.1;1.1;38.2;1.2
LBN;MEA;Lebanon;52.5;3.5;5.5;11;16;11.5;;;
LBR;SSF;Liberia;;;;;;;;;
LBY;MEA;Libya;70.1;3.1;4.3;3.8;5.5;7.5;;2.5;
LCA;LCN;St. Lucia;45;7;5;11;10;22;;;
LIE;ECS;Liechtenstein;37.6;5;12.5;9.100000000000001;30.3;5.4;;;
LKA;SAS;Sri Lanka;62;2;3;13;7;7;;6;
LSO;SSF;Lesotho;;;;;;;;;
LTU;ECS;Lithuania;40.4;8.65;2.75;44.050000000000004;10.05;10.15;;0.6;
LUX;ECS;Luxembourg;30;4;2;27;19;18;;;
LVA;ECS;Latvia;46.7;21.4;2.6;9.7;6.1;7.7;3.6;2.4;
MAC;EAS;Macao SAR, China;3.1;3.3;1.7;3.1;58.7;7.9;;22.3;
MAF;LCN;St. Martin (French part);;;;;;;;;
MAR;MEA;Morocco;60;2;2.5;6;9;8;;;
MCO;ECS;Monaco;;3;2.2;;2.2;1;;;
MDA;ECS;Moldova;55;4;3;23;5;10;;;
MDG;SSF;Madagascar;;;;;;;;;
MDV;SAS;Maldives;24;;1;1;6;3;;;65
MEX;LCN;Mexico;52.4;5.9;3.4;12.1;13.8;10.9;;;
MHL;EAS;Marshall Islands;8;2;6;31;11;13;;;29
MKD;ECS;Macedonia, FYR;29.3;4.1;2.5;19.8;12.8;13.900000000000002;0.9;0.7;16
MLI;SSF;Mali;17.5;1;3.5;72.5;3.5;2;;;
MLT;MEA;Malta;52;6;4;9.5;18;12;;;
MMR;EAS;Myanmar;;;;;;;;;
MNE;ECS;Montenegro;33.82;8.97;2.9;19.46;13.72;18.42;;2.7;
MNG;EAS;Mongolia;22.7;;;50.1;12.7;14.5;;;
MNP;EAS;Northern Mariana Islands;43.6;5.5;10;9.3;10.9;16.5;4.2;;
